Date,Time of Day,Prog,Time,Calories,Distance (KM),Fix,"Note, "
28/09/2012,10:30:00,1,14.56,224,8,Distance,
29/09/2012,11:30:00,1,14.52,224,8,Distance,
30/09/2012,14:30:00,5,15.13,170,8,Distance,
03/10/2012,10:30:00,5,17.49,200,9.29,Calories,
06/10/2012,16:00:00,3,15,200,7.73,Calories,
07/10/2012,13:00:00,2,14.45,200,7.73,Calories,
08/10/2012,11:30:00,6,14.53,219,8,Distance,
09/10/2012,09:30:00,1,14.57,219,8,Distance,
10/10/2012,11:30:00,5,17.34,200,9.29,Calories,
13/10/2012,12:30:00,3,13.54,200,7.35,Calories,
14/10/2012,13:30:00,5,15.08,170,8,Distance,
15/10/2012,14:30:00,4,14.56,197,8,Distance,
22/10/2012,10:00:00,3,15.02,223,8,Distance,Numbers not clear
27/10/2012,14:00:00,3,15.22,217,8,Distance,
28/10/2012,13:30:00,3,14.15,200,7.35,Calories,Cold
29/10/2012,10:00:00,3,13.5,200,7.35,Calories,
30/10/2012,10:00:00,1,15,224,8,Distance,
31/10/2012,10:00:00,1,15.03,224,8,Distance,
03/11/2012,10:00:00,5,15.27,170,8,Distance,Bronchitus
04/11/2012,14:00:00,5,15.19,170,8,Distance,
05/11/2012,10:30:00,5,15.16,170,8,Distance,
06/11/2012,11:00:00,1,13.32,200,7.15,Calories,
07/11/2012,11:30:00,6,14.58,219,8,Distance,
10/11/2012,11:30:00,4,15.46,200,8.17,Calories,
11/11/2012,12:30:00,3,15.15,219,8,Distance,
12/11/2012,11:00:00,1,14.49,220,8,Distance,
13/11/2012,11:45:00,5,17.26,200,9.29,Calories,
14/11/2012,10:00:00,5,17.27,200,9.29,Calories,
17/11/2012,12:00:00,5,17.14,200,9.29,Calories,
18/11/2012,13:00:00,5,14.24,170,8,Distance,No sleep no music
20/11/2012,12:30:00,3,14.53,219,8,Distance,
23/11/2012,17:30:00,1,15.22,224,8,Distance,
24/11/2012,11:00:00,6,15,219,8,Distance,
26/11/2012,11:00:00,6,14.51,219,8,Distance,
27/11/2012,11:00:00,6,14.49,219,8,Distance,
28/11/2012,11:00:00,4,14.54,197,8,Distance,
03/12/2012,11:00:00,5,15.15,170,8,Distance,
04/12/2012,11:00:00,3,15.15,219,8,Distance,
05/12/2012,10:00:00,5,17.51,200,9.29,Calories,
06/12/2012,10:30:00,4,15.43,200,8.17,Calories,
10/12/2012,10:30:00,5,15.09,170,8,Distance,
11/12/2012,10:30:00,6,15.03,219,8,Distance,
12/12/2012,14:30:00,6,15.08,219,8,Distance,
15/12/2012,11:00:00,5,15,172,8,Distance,
16/12/2012,11:30:00,5,17.36,200,9.29,Calories,
17/12/2012,11:00:00,5,17.35,200,9.29,Calories,
19/12/2012,12:00:00,5,17.35,200,9.29,Calories,
20/12/2012,11:15:00,5,17.38,200,9.29,Calories,
21/12/2012,11:00:00,5,17.28,200,9.29,Calories,
27/12/2012,11:00:00,5,15.38,197,8,Distance,
28/12/2012,11:00:00,5,15.18,197,8,Distance,
02/01/2013,11:00:00,5,15.52,197,8,Distance,
03/01/2013,11:00:00,5,15.19,197,8,Distance,
04/01/2013,12:00:00,5,15.06,197,8,Distance,
05/01/2013,11:00:00,1,13.35,200,7.15,Calories,
06/01/2013,10:00:00,1,13.42,200,7.15,Calories,
07/01/2013,09:00:00,5,17.37,200,9.29,Calories,
09/01/2013,09:30:00,5,17.51,200,9.29,Calories,
13/01/2013,13:30:00,5,17.44,200,9.29,Calories,
14/01/2013,10:30:00,6,14.54,219,8,Distance,
16/01/2013,10:30:00,6,15.07,219,8,Distance,
19/01/2013,13:30:00,5,17.43,200,9.29,Calories,
20/01/2013,15:30:00,5,17.39,200,9.29,Calories,
21/01/2013,10:00:00,5,17.29,200,9.29,Calories,
24/01/2013,10:00:00,5.2,13.39,200,7.17,Calories,
25/01/2013,10:00:00,5,17.01,194,9,Distance,
26/01/2013,10:00:00,1,14.53,224,8,Distance,
28/01/2013,11:00:00,6,17.06,240,9,Distance,
29/01/2013,10:30:00,6,16.49,240,9,Distance,
31/01/2013,12:00:00,6,17,240,9,Distance,
02/02/2013,11:00:00,6,17.03,240,9,Distance,
03/02/2013,13:00:00,1,19.06,277,10,Distance,No situps move room
